Data,Horário,Equipe 1,Equipe 2,Placar,Categoria
20/04/2025,09:00,S.C. CORINTHIANS PTA.,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,60 X 54,SUB 12 Masculino
20/04/2025,09:00,SÃO BERNARDO BASQUETE,DOUBLE VOTORANTIM BASKET,66 X 28,SUB 12 Masculino
19/04/2025,13:00,CLUBE ESPERIA,A.A. MOGI DAS CRUZES,38 X 75,SUB 12 Masculino
16/04/2025,18:00,C.A. MONTE LIBANO,S.E. PALMEIRAS,64 X 90,SUB 12 Masculino
13/04/2025,09:00,C.A. PAULISTANO,AMAB / GIRAFINHAS / MAUA,61 X 30,SUB 12 Masculino
13/04/2025,09:00,CIRCULO MILITAR S.P.,T.C. PAULISTA,101 X 7,SUB 12 Masculino
13/04/2025,09:00,RM STARS BASQUETEBOL,C.A. MONTE LIBANO,54 X 39,SUB 12 Masculino
13/04/2025,09:00,S.E. PALMEIRAS,JACAREI BASKETBALL,79 X 37,SUB 12 Masculino
13/04/2025,09:00,S.C. CORINTHIANS PTA.,SANTO ANDRE / APABA,89 X 36,SUB 12 Masculino
13/04/2025,09:00,SÃO BERNARDO BASQUETE,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,44 X 52,SUB 12 Masculino
12/04/2025,13:00,CLUBE ESPERIA,INTERNACIONAL DE REGATAS,29 X 75,SUB 12 Masculino
12/04/2025,13:00,E.C. PINHEIROS,F.R. ALPHAVILLE,61 X 48,SUB 12 Masculino
12/04/2025,09:00,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,A.A. MOGI DAS CRUZES,69 X 55,SUB 12 Masculino
06/04/2025,09:00,S.C. CORINTHIANS PTA.,S.E. PALMEIRAS,48 X 40,SUB 12 Masculino
06/04/2025,09:00,A.A. MOGI DAS CRUZES,C.A. MONTE LIBANO,50 X 40,SUB 12 Masculino
06/04/2025,09:00,SÃO BERNARDO BASQUETE,T.C. PAULISTA,87 X 15,SUB 12 Masculino
05/04/2025,16:00,RM STARS BASQUETEBOL,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,25 X 48,SUB 12 Masculino
05/04/2025,09:00,AMAB / GIRAFINHAS / MAUA,JACAREI BASKETBALL,47 X 53,SUB 12 Masculino
05/04/2025,09:00,SANTO ANDRE / APABA,C.A. PAULISTANO,46 X 31,SUB 12 Masculino
05/04/2025,09:00,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,E.C. PINHEIROS,67 X 61,SUB 12 Masculino
30/03/2025,13:00,S.E. PALMEIRAS,SANTO ANDRE / APABA,70 X 51,SUB 12 Masculino
30/03/2025,10:00,CIRCULO MILITAR S.P.,RM STARS BASQUETEBOL,62 X 15,SUB 12 Masculino
30/03/2025,10:00,DOUBLE VOTORANTIM BASKET,A.A. MOGI DAS CRUZES,37 X 72,SUB 12 Masculino
30/03/2025,09:00,E.C. PINHEIROS,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,59 X 45,SUB 12 Masculino
30/03/2025,09:00,C.A. PAULISTANO,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,44 X 60,SUB 12 Masculino
30/03/2025,09:00,SÃO PAULO F.C.,JACAREI BASKETBALL,70 X 32,SUB 12 Masculino
30/03/2025,09:00,F.R. ALPHAVILLE,INTERNACIONAL DE REGATAS,0 X 20,SUB 12 Masculino
29/03/2025,15:00,T.C. PAULISTA,AMAB / GIRAFINHAS / MAUA,16 X 56,SUB 12 Masculino
29/03/2025,13:00,CLUBE ESPERIA,S.C. CORINTHIANS PTA.,31 X 77,SUB 12 Masculino
29/03/2025,11:00,CIRCULO MILITAR S.P.,INTERNACIONAL DE REGATAS,50 X 42,SUB 12 Masculino
28/03/2025,18:00,C.A. MONTE LIBANO,SÃO BERNARDO BASQUETE,43 X 66,SUB 12 Masculino
23/03/2025,09:00,CLUBE CAMPINEIRO DE REGATAS E NATAÇÃO,AMAB / GIRAFINHAS / MAUA,58 X 61,SUB 12 Masculino
23/03/2025,09:00,SÃO PAULO F.C.,S.E. PALMEIRAS,58 X 50,SUB 12 Masculino
23/03/2025,09:00,INTERNACIONAL DE REGATAS,S.C. CORINTHIANS PTA.,36 X 65,SUB 12 Masculino
23/03/2025,09:00,SÃO BERNARDO BASQUETE,E.C. PINHEIROS,42 X 49,SUB 12 Masculino
23/03/2025,09:00,A.A. MOGI DAS CRUZES,T.C. PAULISTA,113 X 11,SUB 12 Masculino
23/03/2025,09:00,RM STARS BASQUETEBOL,F.R. ALPHAVILLE,52 X 59,SUB 12 Masculino
22/03/2025,10:00,DOUBLE VOTORANTIM BASKET,JACAREI BASKETBALL,31 X 57,SUB 12 Masculino
22/03/2025,09:00,SANTO ANDRE / APABA,SÃO JOSÉ BASKETBALL / ATLETA CIDADÃO,48 X 65,SUB 12 Masculino
22/03/2025,09:00,C.A. PAULISTANO,INTERNACIONAL DE REGATAS,46 X 42,SUB 12 Masculino
